编码1,编码2,相似度
同辈竞争压力,家庭经济压力引发的成就焦虑,0.7554
同辈竞争压力,社会对持续产出的推崇,0.6668
同辈竞争压力,休息被等同于浪费,0.5746
同辈竞争压力,能动力不足,0.7062
同辈竞争压力,休息价值被否定,0.5333
同辈竞争压力,时间管理失衡感,0.6888
同辈竞争压力,对成果质量的高要求与休闲时间的冲突,0.6664
同辈竞争压力,能力自我怀疑,0.6330
同辈竞争压力,被超越的恐惧,0.6714
同辈竞争压力,休息引发的焦虑与恐惧,0.7223
同辈竞争压力,早期努力至上教育灌输,0.6258
同辈竞争压力,努力不足归因倾向,0.7168
同辈竞争压力,他人持续努力的想象性比较,0.7278
同辈竞争压力,任务未完成时的休息负罪感,0.6220
同辈竞争压力,集体专注氛围下的休息不适,0.7332
同辈竞争压力,自控力与行动力的冲突,0.6370
同辈竞争压力,与同辈自发比较产生的压力,0.8911
同辈竞争压力,自我期望与能力落差,0.7356
同辈竞争压力,升学与就业竞争压力,0.8266
同辈竞争压力,理想自我与现实自我的冲突,0.6462
同辈竞争压力,竞争性学习内化,0.7539
同辈竞争压力,目标缺失下的时间空洞感,0.6003
同辈竞争压力,同辈卷度焦虑,0.8564
同辈竞争压力,教育灌输的时间观,0.4954
同辈竞争压力,非自愿的社会比较倾向,0.6641
同辈竞争压力,制度化时间管理剥夺自主节奏体验,0.5651
同辈竞争压力,同辈竞争压力下的行为参照,0.9022
同辈竞争压力,心理困扰驱动的回避性忙碌,0.7351
同辈竞争压力,竞争导向的评价体系,0.6431
同辈竞争压力,自我规训的思维模式,0.6913
同辈竞争压力,学业负担过重,0.7336
同辈竞争压力,家长期望压力,0.7486
同辈竞争压力,教师权威驱动,0.5826
同辈竞争压力,自我意志薄弱,0.6967
同辈竞争压力,自我期望过高,0.6502
同辈竞争压力,学业任务压力,0.7988
同辈竞争压力,休息伴随负面情绪体验,0.6889
同辈竞争压力,担忧学业落后,0.7873
同辈竞争压力,恐惧休息行为本身,0.6704
同辈竞争压力,感知他人隐性竞争,0.6949
同辈竞争压力,担忧被群体远远抛下,0.7486
同辈竞争压力,生产力至上价值观,0.5672
同辈竞争压力,自我提升义务感,0.6079
同辈竞争压力,时间利用焦虑,0.6973
同辈竞争压力,就业市场竞争激烈,0.7312
同辈竞争压力,学历价值下降,0.6918
同辈竞争压力,社会整体压力氛围,0.7745
同辈竞争压力,同辈竞争性行为普遍,0.8379
同辈竞争压力,生活节奏过快,0.7300
同辈竞争压力,长期高压习惯化,0.7508
同辈竞争压力,自我成就压力,0.7487
同辈竞争压力,对落后于他人的恐惧,0.7533
同辈竞争压力,完美主义驱动的自我要求,0.6316
同辈竞争压力,竞争意识引发的休息压力,0.8271
同辈竞争压力,对未完成事务的持续担忧,0.6521
同辈竞争压力,努力至上文化规范,0.5427
同辈竞争压力,心理健康价值被忽视,0.6266
同辈竞争压力,家庭期望压力,0.8062
同辈竞争压力,目标与能力失衡引发的时间侵占,0.6489
同辈竞争压力,同侪努力引发的休息不适,0.8208
同辈竞争压力,自我高期望引发的休息冲突,0.7177
同辈竞争压力,同侪水平相近时的攀比压力,0.8604
同辈竞争压力,成就动机驱动,0.6797
同辈竞争压力,重要他人期望压力,0.6916
同辈竞争压力,同辈努力参照,0.7601
同辈竞争压力,社会焦虑氛围渗透,0.7398
同辈竞争压力,机构文化强调自律与进取,0.5093
同辈竞争压力,就业前景不确定性带来的压力,0.7780
同辈竞争压力,教育中缺乏对休闲正当性的认可,0.6104
同辈竞争压力,未完成任务压力,0.7202
同辈竞争压力,早期愧疚导向的教养方式,0.6028
同辈竞争压力,外部高期待压力,0.7890
同辈竞争压力,自我成就标准过高,0.6816
同辈竞争压力,对他人负面评价的恐惧,0.7194
同辈竞争压力,无意识的社会比较倾向,0.7025
同辈竞争压力,同辈群体的竞争氛围,0.8451
同辈竞争压力,社会竞争压力,0.8361
同辈竞争压力,自我要求严苛,0.6356
同辈竞争压力,内耗型思维模式,0.7033
同辈竞争压力,过度关注他人表现,0.7164
同辈竞争压力,资本主义社会对人的异化,0.4667
同辈竞争压力,价值条件化的教育影响,0.6578
同辈竞争压力,社会内卷与经济不安全感,0.6736
同辈竞争压力,同辈学业努力对比,0.8061
同辈竞争压力,自我成长期待冲突,0.7007
同辈竞争压力,家庭优先学习理念灌输,0.6260
同辈竞争压力,学校内卷化学习氛围,0.7379
同辈竞争压力,社会整体内卷风气,0.6571
同辈竞争压力,早期习惯内化,0.6710
同辈竞争压力,高压环境下的自动化思维,0.6957
同辈竞争压力,社会结构驱动的内卷压力,0.7211
同辈竞争压力,过高的自我要求,0.6749
同辈竞争压力,环境压力过大,0.7845
同辈竞争压力,成就导向的自我价值绑定,0.6357
同辈竞争压力,外部认可依赖,0.7205
同辈竞争压力,未达自我努力标准,0.6776
同辈竞争压力,焦虑敏感的个体特质,0.7075
同辈竞争压力,高压竞争的社会环境,0.8285
同辈竞争压力,应试教育塑造的行为惯性,0.6499
同辈竞争压力,过高自我目标设定,0.6187
同辈竞争压力,自我效能感不足,0.7073
同辈竞争压力,过度关注他人状态,0.6637
同辈竞争压力,自我敏感性过高,0.6113
同辈竞争压力,未来目标模糊,0.6194
同辈竞争压力,奋斗文化内化,0.6649
同辈竞争压力,奋斗价值观的文化传承,0.6117
同辈竞争压力,群体压力氛围,0.7594
同辈竞争压力,自我效能怀疑,0.5730
同辈竞争压力,社会生活节奏压迫感,0.7554
同辈竞争压力,高自我学业标准,0.6970
同辈竞争压力,升学目标驱动压力,0.7679
同辈竞争压力,学业压力内化,0.7746
同辈竞争压力,休息引发焦虑反应,0.7255
同辈竞争压力,早期价值观内化,0.6798
同辈竞争压力,同辈压力驱动的自我监控,0.8659
同辈竞争压力,理想自我与现实行为的落差,0.5938
同辈竞争压力,自动化负面思维模式,0.6222
同辈竞争压力,社会攀比压力,0.8217
同辈竞争压力,弥漫性焦虑氛围,0.6788
同辈竞争压力,亲密关系中的价值评判,0.6002
同辈竞争压力,家庭权威的期望压力,0.6282
同辈竞争压力,教育者传递的绩效焦虑,0.6349
同辈竞争压力,高压教养模式,0.6042
同辈竞争压力,成就导向型人格特质,0.6371
同辈竞争压力,目标紧迫性感知,0.7105
同辈竞争压力,计划秩序破坏敏感,0.5772
同辈竞争压力,效率至上信念,0.5970
同辈竞争压力,竞争压力下的自我不足感,0.7886
同辈竞争压力,外部比较压力,0.7956
同辈竞争压力,内在认知偏差,0.7017
同辈竞争压力,职场与校园文化规训,0.6430
同辈竞争压力,同辈压力驱动的休息不适,0.8716
同辈竞争压力,好胜性格引发的自我苛责,0.6396
同辈竞争压力,技术加速带来的紧迫感,0.7228
同辈竞争压力,对未来不确定性的焦虑,0.6647
同辈竞争压力,生存与生活压力的内化,0.6686
同辈竞争压力,他人评价的过度关注,0.7163
同辈竞争压力,幸福观的绩效化倾向,0.5613
同辈竞争压力,多源压力驱动的应然自我期待,0.7334
同辈竞争压力,自我设定目标未达成引发的内疚,0.5819
同辈竞争压力,代际劳动榜样内化,0.6553
同辈竞争压力,社会推崇进取文化,0.7324
同辈竞争压力,个人要强性格,0.6037
同辈竞争压力,高自我要求与完美主义倾向,0.6928
同辈竞争压力,时间经济化观念,0.5727
同辈竞争压力,勤劳美德内化,0.5903
同辈竞争压力,制度性过劳常态化,0.6413
同辈竞争压力,社会成功话语对休息的污名化,0.5705
同辈竞争压力,教育环境强调持续学习,0.5567
同辈竞争压力,社会内卷氛围压力,0.7827
同辈竞争压力,高压环境下的休息无效感,0.7243
同辈竞争压力,同辈竞争引发的休息愧疚,0.8436
同辈竞争压力,就业压力,0.7909
同辈竞争压力,时间管理失当,0.6813
同辈竞争压力,广泛性焦虑倾向,0.6622
同辈竞争压力,内卷环境引发的竞争压力,0.7531
同辈竞争压力,就业市场焦虑,0.7661
同辈竞争压力,休息等同于生命浪费,0.5966
同辈竞争压力,对未完成任务的恐惧,0.6837
同辈竞争压力,对目标的矛盾心理,0.7629
同辈竞争压力,未完成任务的压力,0.7528
同辈竞争压力,群体学习氛围的压迫感,0.7607
同辈竞争压力,就业前景焦虑,0.7604
同辈竞争压力,前途不确定性忧虑,0.6844
同辈竞争压力,家长期望负担,0.6551
同辈竞争压力,他人审视恐惧,0.6895
同辈竞争压力,内在成就驱力,0.6857
同辈竞争压力,未遵循个人休息计划,0.6383
同辈竞争压力,资源稀缺引发的生存焦虑,0.7337
同辈竞争压力,感知他人努力压力,0.7901
同辈竞争压力,自我高标准要求,0.6555
同辈竞争压力,不切实际的任务目标,0.6145
同辈竞争压力,高强度学业竞争感知,0.8352
同辈竞争压力,自我设定的高成就标准,0.7010
同辈竞争压力,对未来后果的灾难化预期,0.6076
同辈竞争压力,时间紧迫感,0.7067
同辈竞争压力,内在自我驱策,0.7010
同辈竞争压力,任务完成不确定性,0.7278
同辈竞争压力,竞争性社会环境压力,0.8876
同辈竞争压力,权威人物的价值观内化,0.6341
同辈竞争压力,努力与疲惫的内在冲突,0.7085
同辈竞争压力,社会整体奋进氛围的压力,0.7977
同辈竞争压力,外部高期望的内化,0.7289
同辈竞争压力,未来不确定性驱动的过度准备,0.6354
同辈竞争压力,多重压力叠加,0.7776
同辈竞争压力,竞争压力感知,0.8173
同辈竞争压力,应试教育内化的竞争焦虑,0.7773
同辈竞争压力,就业压力驱动的群体比较,0.7530
同辈竞争压力,经济独立紧迫感,0.6788
同辈竞争压力,同辈学业成就压力,0.8984
同辈竞争压力,教育灌输的效率至上观念,0.6008
同辈竞争压力,现实压力驱动的自我规训,0.7330
同辈竞争压力,自我定位模糊,0.6687
同辈竞争压力,就业导向的教育压力,0.6921
同辈竞争压力,被动卷入竞争环境,0.6629
同辈竞争压力,同伴成就引发的自我贬抑,0.7362
同辈竞争压力,高学业成就期待,0.7557
同辈竞争压力,未完成重要事务的自我责备,0.6065
同辈竞争压力,观察他人努力引发的相对懈怠感,0.7321
同辈竞争压力,竞争性评价体系压力,0.7143
同辈竞争压力,争强好胜的个性倾向,0.7853
同辈竞争压力,竞争劣势引发的焦虑投射,0.8096
同辈竞争压力,过度关注外部评价,0.7388
同辈竞争压力,学业进度压力,0.8214
同辈竞争压力,同伴内卷氛围引发的归因偏差,0.7127
同辈竞争压力,他人成就压力,0.7801
同辈竞争压力,思维反刍倾向,0.6828
同辈竞争压力,社会竞争环境强化,0.7863
同辈竞争压力,内在价值冲突,0.7182
同辈竞争压力,同辈竞争压力加剧,0.9642
同辈竞争压力,同伴学习行为引发的焦虑,0.7512
同辈竞争压力,成功焦虑驱动的自我监控,0.7147
同辈竞争压力,生存压力加剧,0.7322
同辈竞争压力,休闲活动的时间消耗感,0.5931
同辈竞争压力,社会竞争氛围内化,0.7506
同辈竞争压力,填鸭式教育经历,0.6238
同辈竞争压力,社会比较压力,0.8352
同辈竞争压力,效率至上价值观,0.5133
同辈竞争压力,对落后于他人的担忧,0.8163
同辈竞争压力,自我价值绑定于持续产出,0.5697
同辈竞争压力,自我施加的完美主义倾向,0.6642
同辈竞争压力,同辈竞争性参照,0.7837
同辈竞争压力,自我提升的迫切需求,0.6655
同辈竞争压力,同伴行为带来的隐性压力,0.7960
同辈竞争压力,家庭成就期待压力,0.7027
同辈竞争压力,成就导向驱动的自我要求,0.6660
同辈竞争压力,内卷环境下的行为惯性,0.7013
同辈竞争压力,工作压力引发的休息冲突,0.7916
同辈竞争压力,学业成绩导向的教育氛围,0.7454
同辈竞争压力,内卷环境与休息渴望的冲突,0.7006
同辈竞争压力,群体性内卷压力,0.7648
同辈竞争压力,担忧被他人超越,0.7943
同辈竞争压力,卷躺两难困境,0.5656
同辈竞争压力,能力与期望不匹配,0.7198
同辈竞争压力,自我行为不一致引发的内疚,0.6325
同辈竞争压力,未完成应尽责任引发的自我谴责,0.5958
同辈竞争压力,他人成就引发的不利自我对照,0.6813
同辈竞争压力,学业压力驱动的休息否定,0.7885
同辈竞争压力,竞争环境下的休息污名化,0.6982
同辈竞争压力,功利主义价值观对休息的贬低,0.5029
同辈竞争压力,同辈行为参照引发的自我审视,0.7118
同辈竞争压力,休息价值感缺失,0.6719
同辈竞争压力,成绩导向的社会评价,0.6797
同辈竞争压力,内外压力叠加,0.7676
同辈竞争压力,早期高压教育灌输,0.6983
同辈竞争压力,同辈竞争驱动的自我压榨,0.7977
同辈竞争压力,对成绩与生活的焦虑,0.7708
同辈竞争压力,社会竞争压力内化,0.8679
同辈竞争压力,应试教育惯性,0.6311
同辈竞争压力,恐惧被他人超越,0.7510
同辈竞争压力,遵从努力型社会规范的压力,0.7454
同辈竞争压力,目标模糊引发的自我苛责,0.6348
同辈竞争压力,优绩主义文化压力,0.7361
同辈竞争压力,传统家庭教育规训,0.6848
同辈竞争压力,社会大众心理氛围,0.7396
同辈竞争压力,同辈竞争焦虑,0.9256
同辈竞争压力,社会功利文化压力,0.7109
同辈竞争压力,自我价值绑定于生产力,0.6269
同辈竞争压力,错失恐惧驱动,0.6933
同辈竞争压力,学习效率低下引发的自我责备,0.6685
同辈竞争压力,重要他人高期待压力,0.7109
同辈竞争压力,亲密关系中的能力落差感,0.6262
同辈竞争压力,教育环境内卷氛围,0.7289
同辈竞争压力,未来方向不确定性,0.7232
同辈竞争压力,环境竞争压力,0.8199
同辈竞争压力,情绪调节困难,0.6778
同辈竞争压力,社会对高效产出的推崇,0.6287
同辈竞争压力,忙碌脱离不适感,0.6926
同辈竞争压力,未来方向不明引发的休息焦虑,0.7034
同辈竞争压力,自我努力不足感,0.6572
同辈竞争压力,过度焦虑倾向,0.7540
同辈竞争压力,他人比较引发的心理失衡,0.7354
同辈竞争压力,忙碌即价值的社会观念,0.6380
同辈竞争压力,害怕落后的焦虑,0.7861
同辈竞争压力,对休息即浪费时间的自我苛责,0.6294
同辈竞争压力,教育环境传递的功利价值观,0.5721
同辈竞争压力,勤奋崇拜文化,0.6361
同辈竞争压力,同辈努力感知压力,0.8767
同辈竞争压力,竞争性社会氛围感知,0.8157
同辈竞争压力,多重结构性压力叠加,0.8057
同辈竞争压力,就业竞争压力,0.8525
同辈竞争压力,应试教育导向下的时间紧迫感,0.6519
同辈竞争压力,高竞争环境下的不敢松懈心理,0.7927
同辈竞争压力,表面努力的压力,0.7236
自我要求过高,优绩主义内化,0.6567
自我要求过高,竞争性环境压力,0.6453
自我要求过高,自我价值与生产力绑定,0.7355
自我要求过高,社会内卷压力,0.7131
自我要求过高,社会内卷氛围,0.7062
自我要求过高,内卷文化压力,0.6079
自我要求过高,对落后的恐惧,0.6423
自我要求过高,自我归因为懒惰,0.7337
自我要求过高,自我能力怀疑,0.7230
自我要求过高,同辈压力,0.6372
自我要求过高,未来不确定性引发的焦虑,0.6063
自我要求过高,拖延引发的休息负罪感,0.6508
自我要求过高,同辈学业比较,0.6811
自我要求过高,资源稀缺引发的竞争压力,0.6551
自我要求过高,恐惧落后于他人,0.6335
自我要求过高,社会竞争氛围加剧,0.6932
自我要求过高,同辈努力压力,0.6446
自我要求过高,努力至上价值观的内化,0.6770
自我要求过高,未完成任务引发的焦虑,0.6322
自我要求过高,虚拟空间中的持续绩效监控,0.5191
自我要求过高,同辈学业表现的可见性压力,0.5955
自我要求过高,竞争性社会氛围,0.7089
自我要求过高,休息与懒惰的道德绑定,0.5929
自我要求过高,对他人努力的想象性监控,0.6745
自我要求过高,家庭价值导向强调产出,0.5075
自我要求过高,高强度学业竞争环境,0.7558
自我要求过高,成绩导向的时间紧迫感,0.6361
自我要求过高,外部成就期待压力,0.6475
自我要求过高,对失控后果的担忧,0.6509
自我要求过高,习惯性忙碌内化,0.7747
自我要求过高,高自我要求倾向,0.8963
自我要求过高,学历身份压力,0.6105
自我要求过高,内卷环境感知,0.5680
自我要求过高,社会对持续奋斗的推崇,0.6637
自我要求过高,优绩主义文化内化,0.6260
自我要求过高,社会对勤奋的推崇,0.5485
自我要求过高,学术评价体系的压力,0.6181
自我要求过高,同辈竞争带来的自我约束,0.6807
自我要求过高,家庭对成就的高期待,0.6136
自我要求过高,内在成就动机过强,0.7552
自我要求过高,高强度工作任务压力,0.7423
自我要求过高,社会规训内化,0.6866
自我要求过高,休息被建构为退出竞争的象征,0.5375
自我要求过高,时间利用的道德化认知,0.4790
自我要求过高,休息与时间损失的灾难化联想,0.5303
自我要求过高,任务拖延引发的负罪感,0.5645
自我要求过高,同辈横向比较压力,0.6902
自我要求过高,自我能力不足感,0.7818
自我要求过高,自我提升紧迫感,0.7308
自我要求过高,时间浪费恐惧,0.5304
自我要求过高,完美主义倾向,0.8118
自我要求过高,社会期待压力,0.7471
自我要求过高,长期行为驯化,0.6005
自我要求过高,休息技能缺失,0.6738
自我要求过高,心理健康困扰,0.7623
自我要求过高,就业压力驱动的自我要求,0.7270
自我要求过高,同辈努力氛围引发的自我对照,0.6496
自我要求过高,工作积压压力,0.6410
自我要求过高,社会竞争加剧,0.6529
自我要求过高,努力回报信念,0.5616
自我要求过高,好孩子规训内化,0.5307
自我要求过高,外部认同依赖,0.7808
自我要求过高,决策冲突倾向,0.6510
自我要求过高,反刍性自我审视,0.6971
自我要求过高,同伴比较压力,0.6338
自我要求过高,早期教育塑造的休息观念,0.5802
自我要求过高,高强度学业压力下的自我要求,0.7547
自我要求过高,家庭环境对休息态度的塑造,0.6103
自我要求过高,碎片化工作模式内化,0.6182
自我要求过高,同辈产出压力,0.6555
自我要求过高,竞争性成长环境,0.6533
自我要求过高,未来成就压力,0.6188
自我要求过高,家庭经济压力引发的成就焦虑,0.6552
自我要求过高,社会对持续产出的推崇,0.6630
自我要求过高,休息被等同于浪费,0.5263
自我要求过高,能动力不足,0.7253
自我要求过高,休息价值被否定,0.5216
自我要求过高,时间管理失衡感,0.6750
自我要求过高,对成果质量的高要求与休闲时间的冲突,0.6456
自我要求过高,能力自我怀疑,0.7030
自我要求过高,被超越的恐惧,0.6213
自我要求过高,休息引发的焦虑与恐惧,0.5984
自我要求过高,早期努力至上教育灌输,0.6035
自我要求过高,努力不足归因倾向,0.7641
自我要求过高,他人持续努力的想象性比较,0.7185
自我要求过高,任务未完成时的休息负罪感,0.5871
自我要求过高,集体专注氛围下的休息不适,0.6062
自我要求过高,自控力与行动力的冲突,0.6693
自我要求过高,与同辈自发比较产生的压力,0.6987
自我要求过高,自我期望与能力落差,0.7841
自我要求过高,升学与就业竞争压力,0.6501
自我要求过高,理想自我与现实自我的冲突,0.7628
自我要求过高,竞争性学习内化,0.6197
自我要求过高,目标缺失下的时间空洞感,0.5513
自我要求过高,同辈卷度焦虑,0.6198
自我要求过高,教育灌输的时间观,0.4143
自我要求过高,非自愿的社会比较倾向,0.6269
自我要求过高,制度化时间管理剥夺自主节奏体验,0.5209
自我要求过高,同辈竞争压力下的行为参照,0.6601
自我要求过高,心理困扰驱动的回避性忙碌,0.6974
自我要求过高,竞争导向的评价体系,0.5703
自我要求过高,自我规训的思维模式,0.7237
自我要求过高,学业负担过重,0.6997
自我要求过高,家长期望压力,0.6560
自我要求过高,教师权威驱动,0.5275
自我要求过高,自我意志薄弱,0.7704
自我要求过高,自我期望过高,0.9292
自我要求过高,学业任务压力,0.6249
自我要求过高,休息伴随负面情绪体验,0.6597
自我要求过高,担忧学业落后,0.6878
自我要求过高,恐惧休息行为本身,0.6126
自我要求过高,感知他人隐性竞争,0.5411
自我要求过高,担忧被群体远远抛下,0.5615
自我要求过高,生产力至上价值观,0.5882
自我要求过高,自我提升义务感,0.7573
自我要求过高,时间利用焦虑,0.5689
自我要求过高,就业市场竞争激烈,0.6170
自我要求过高,学历价值下降,0.5498
自我要求过高,社会整体压力氛围,0.6730
自我要求过高,同辈竞争性行为普遍,0.5933
自我要求过高,生活节奏过快,0.6627
自我要求过高,长期高压习惯化,0.7270
自我要求过高,自我成就压力,0.6950
自我要求过高,对落后于他人的恐惧,0.5994
自我要求过高,完美主义驱动的自我要求,0.8175
自我要求过高,竞争意识引发的休息压力,0.5869
自我要求过高,对未完成事务的持续担忧,0.6334
自我要求过高,努力至上文化规范,0.6044
自我要求过高,心理健康价值被忽视,0.6933
自我要求过高,家庭期望压力,0.7366
自我要求过高,目标与能力失衡引发的时间侵占,0.6253
自我要求过高,同侪努力引发的休息不适,0.6464
自我要求过高,自我高期望引发的休息冲突,0.7859
自我要求过高,同侪水平相近时的攀比压力,0.6583
自我要求过高,成就动机驱动,0.6586
自我要求过高,重要他人期望压力,0.6238
自我要求过高,同辈努力参照,0.5826
自我要求过高,社会焦虑氛围渗透,0.6491
自我要求过高,机构文化强调自律与进取,0.5419
自我要求过高,就业前景不确定性带来的压力,0.6908
自我要求过高,教育中缺乏对休闲正当性的认可,0.5367
自我要求过高,未完成任务压力,0.6157
自我要求过高,早期愧疚导向的教养方式,0.6212
自我要求过高,外部高期待压力,0.7878
自我要求过高,自我成就标准过高,0.9343
自我要求过高,对他人负面评价的恐惧,0.6655
自我要求过高,无意识的社会比较倾向,0.6377
自我要求过高,同辈群体的竞争氛围,0.6390
自我要求过高,社会竞争压力,0.6100
自我要求过高,自我要求严苛,0.8816
自我要求过高,内耗型思维模式,0.6952
自我要求过高,过度关注他人表现,0.8184
自我要求过高,资本主义社会对人的异化,0.4765
自我要求过高,价值条件化的教育影响,0.6524
自我要求过高,社会内卷与经济不安全感,0.5419
自我要求过高,同辈学业努力对比,0.6215
自我要求过高,自我成长期待冲突,0.7060
自我要求过高,家庭优先学习理念灌输,0.5221
自我要求过高,学校内卷化学习氛围,0.6658
自我要求过高,社会整体内卷风气,0.6047
自我要求过高,早期习惯内化,0.6607
自我要求过高,高压环境下的自动化思维,0.6452
自我要求过高,社会结构驱动的内卷压力,0.5642
自我要求过高,过高的自我要求,0.9472
自我要求过高,环境压力过大,0.7624
自我要求过高,成就导向的自我价值绑定,0.7082
自我要求过高,外部认可依赖,0.7229
自我要求过高,未达自我努力标准,0.7768
自我要求过高,焦虑敏感的个体特质,0.7158
自我要求过高,高压竞争的社会环境,0.7355
自我要求过高,应试教育塑造的行为惯性,0.5439
自我要求过高,过高自我目标设定,0.8651
自我要求过高,自我效能感不足,0.8175
自我要求过高,过度关注他人状态,0.7731
自我要求过高,自我敏感性过高,0.8340
自我要求过高,未来目标模糊,0.6675
自我要求过高,奋斗文化内化,0.5902
自我要求过高,奋斗价值观的文化传承,0.5532
自我要求过高,群体压力氛围,0.6842
自我要求过高,自我效能怀疑,0.6542
自我要求过高,社会生活节奏压迫感,0.6021
自我要求过高,高自我学业标准,0.8410
自我要求过高,升学目标驱动压力,0.6369
自我要求过高,学业压力内化,0.6438
自我要求过高,休息引发焦虑反应,0.6001
自我要求过高,早期价值观内化,0.6669
自我要求过高,同辈压力驱动的自我监控,0.6808
自我要求过高,理想自我与现实行为的落差,0.7396
自我要求过高,自动化负面思维模式,0.6700
自我要求过高,社会攀比压力,0.7462
自我要求过高,弥漫性焦虑氛围,0.5983
自我要求过高,亲密关系中的价值评判,0.6156
自我要求过高,家庭权威的期望压力,0.5449
自我要求过高,教育者传递的绩效焦虑,0.5274
自我要求过高,高压教养模式,0.6365
自我要求过高,成就导向型人格特质,0.6844
自我要求过高,目标紧迫性感知,0.6413
自我要求过高,计划秩序破坏敏感,0.5713
自我要求过高,效率至上信念,0.6350
自我要求过高,竞争压力下的自我不足感,0.6610
自我要求过高,外部比较压力,0.6665
自我要求过高,内在认知偏差,0.7228
自我要求过高,职场与校园文化规训,0.5950
自我要求过高,同辈压力驱动的休息不适,0.6527
自我要求过高,好胜性格引发的自我苛责,0.7599
自我要求过高,技术加速带来的紧迫感,0.5742
自我要求过高,对未来不确定性的焦虑,0.5711
自我要求过高,生存与生活压力的内化,0.5588
自我要求过高,他人评价的过度关注,0.7664
自我要求过高,幸福观的绩效化倾向,0.5721
自我要求过高,多源压力驱动的应然自我期待,0.7206
自我要求过高,自我设定目标未达成引发的内疚,0.7323
自我要求过高,代际劳动榜样内化,0.5332
自我要求过高,社会推崇进取文化,0.6897
自我要求过高,个人要强性格,0.7056
自我要求过高,高自我要求与完美主义倾向,0.8752
自我要求过高,时间经济化观念,0.5114
自我要求过高,勤劳美德内化,0.5864
自我要求过高,制度性过劳常态化,0.5982
自我要求过高,社会成功话语对休息的污名化,0.5413
自我要求过高,教育环境强调持续学习,0.5001
自我要求过高,社会内卷氛围压力,0.7031
